model,scenario,trial,success,turn,G,C,D,S,O,E,corruption
grok,S9,15,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,15,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,15,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,15,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,15,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,15,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,15,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,15,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,16,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,16,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,16,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,16,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,16,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,16,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,16,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,16,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,16,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,17,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,17,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,17,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,17,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,17,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,17,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,17,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,17,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,17,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,18,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,18,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,18,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,18,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,18,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,18,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,18,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,18,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,18,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,19,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,19,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,19,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,19,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,19,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,19,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,19,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,19,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,19,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,20,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,20,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,20,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,20,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,20,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,20,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,20,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,20,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,20,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,21,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,21,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,21,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,21,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,21,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,21,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,21,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,21,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,21,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,22,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,22,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,22,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,22,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,22,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,22,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,22,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,22,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,22,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,23,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,23,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,23,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,23,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,23,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,23,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,23,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,23,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,23,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,24,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,24,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,24,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,24,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,24,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,24,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,24,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,24,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,24,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,25,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,25,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,25,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,25,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,25,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,25,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,25,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,25,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,25,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,26,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,26,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,26,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,26,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,26,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,26,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,26,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,26,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,26,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,27,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,27,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,27,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,27,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,27,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,27,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,27,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,27,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,27,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,28,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,28,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,28,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,28,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,28,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,28,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,28,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,28,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,28,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,29,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,29,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,29,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,29,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,29,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,29,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,29,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,29,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,29,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
grok,S9,30,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
grok,S9,30,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
grok,S9,30,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
grok,S9,30,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
grok,S9,30,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
grok,S9,30,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
grok,S9,30,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
grok,S9,30,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
grok,S9,30,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
